MM-12,MMR002,KYH,Kayah,ကယား,MMR002D002,Bawlake,ဘော်လခဲ,MMR002005,Bawlakhe,ဘော်လခဲ
MM-12,MMR002,KYH,Kayah,ကယား,MMR002D002,Bawlake,ဘော်လခဲ,MMR002006,Hpasawng,ဖားဆောင်း
MM-12,MMR002,KYH,Kayah,ကယား,MMR002D002,Bawlake,ဘော်လခဲ,MMR002007,Mese,မယ်စဲ့
MM-12,MMR002,KYH,Kayah,ကယား,MMR002D002,Bawlake,ဘော်လခဲ,MMR002005702,Ywarthit,ရွာသစ်
MM-13,MMR003,KYN,Kayin,ကရင်,,,,,,
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,,,
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003001,Hpa-An,ဘားအံ
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003002,Hlaingbwe,လှိုင်းဘွဲ့
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003004,Thandaunggyi,သံတောင်ကြီး
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003002702,Paingkyon,ပိုင်ကျုံ
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003002703,Shan Ywar Thit,ရှမ်းရွာသစ်
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003004703,Leik Tho,လိပ်သို
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003004704,Baw Ga Li,ဘောဂလိ
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D004,Hpapun,ဖာပွန်,,,
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D004,Hpapun,ဖာပွန်,MMR003003,Hpapun,ဖာပွန်
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D004,Hpapun,ဖာပွန်,MMR003003702,Kamarmaung,ကမမောင်း
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D002,Myawaddy,မြဝတီ,,,
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D002,Myawaddy,မြဝတီ,MMR003005,Myawaddy,မြဝတီ
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D002,Myawaddy,မြဝတီ,MMR003005702,Su Ka Li,စုကလိ
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D002,Myawaddy,မြဝတီ,MMR003005703,Waw Lay Myaing  (Waw Lay),ဝေါလေမြိုင် (ဝေါလေ)
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,,,
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,MMR003006,Kawkareik,ကော့ကရိတ်
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,MMR003007,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,MMR003007702,Hpayarthonesu,ဘုရားသုံးဆူ
MM-13,MMR003,KYN,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,MMR003007703,Kyaikdon,ကျိုက်ထို
MM-14,MMR004,CHN,Chin,ချင်း,,,,,,
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D003,Hakha,ဟားခါး,,,
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D003,Hakha,ဟားခါး,MMR004002,Hakha,ဟားခါး
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D003,Hakha,ဟားခါး,MMR004003,Thantlang,ထန်တလန်
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,,,
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004001,Falam,ဖလမ်း
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004004,Tedim,တီးတိန်
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004005,Tonzang,တွန်းဇံ
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004001702,Rihkhawdar, ရိခေါ်ဒါရ်
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004005702,Cikha,ကျီခါး
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,,,
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004006,Mindat,မင်းတပ်
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004007,Matupi,မတူပီ
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004008,Kanpetlet,ကန်ပက်လက်
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004009,Paletwa,ပလက်၀
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004007702,Rezua,ရေဇဝါ
MM-14,MMR004,CHN,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004009702,Samee,ဆမီး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,,,,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,MMR005001,Sagaing,စစ်ကိုင်း
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,MMR005002,Myinmu,မြင်းမူ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,MMR005003,Myaung,မြောင်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005004,Shwebo,ရွှေဘို
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005005,Khin-U,ခင်ဦး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005006,Wetlet,ဝက်လက်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005007,Kanbalu,ကန့်ဘလူ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005008,Kyunhla,ကျွန်းလှ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005009,Ye-U,"ရေဦး"
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005010,Tabayin,ဒီပဲယင်း
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005011,Taze,တန့်ဆည်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005004702,Kyauk Myaung,ကျောက်မြောင်း
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D003,Monywa,မုံရွာ,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D003,Monywa,မုံရွာ,MMR005012,Monywa,မုံရွာ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D003,Monywa,မုံရွာ,MMR005013,Budalin,ဘုတလင်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D003,Monywa,မုံရွာ,MMR005014,Ayadaw,အရာတော်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D003,Monywa,မုံရွာ,MMR005015,Chaung-U,ချောင်းဦး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,MMR005020,Katha,ကသာ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,MMR005021,Indaw,အင်းတော်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,MMR005022,Tigyaing,ထီးချိုင့်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,MMR005023,Banmauk,ဗန်းမောက်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,MMR005024,Kawlin,ကောလင်း
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,MMR005025,Wuntho,ဝန်းသို
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,MMR005026,Pinlebu,ပင်လည်ဘူး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D005,Kale,ကလေး,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D005,Kale,ကလေး,MMR005027,Kale,ကလေး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D005,Kale,ကလေး,MMR005028,Kalewa,ကလေး၀
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D005,Kale,ကလေး,MMR005029,Mingin,မင်းကင်း
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D006,Tamu,တမူး,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D006,Tamu,တမူး,MMR005030,Tamu,တမူး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D006,Tamu,တမူး,MMR005030702,Myothit,မြို့သစ်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D006,Tamu,တမူး,MMR005030703,Khampat,ခန်းပတ်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D007,Mawlaik,မော်လိုက်,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D007,Mawlaik,မော်လိုက်,MMR005031,Mawlaik,မော်လိုက်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D007,Mawlaik,မော်လိုက်,MMR005032,Paungbyin,ဖေါင်းပြင်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005033,Hkamti,ခန္တီး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005034,Homalin,ဟုမ္မလင်း
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005035,Lay Shi,လေရှီး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005036,Lahe,လဟယ်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005037,Nanyun,နန်းယွန်း
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005035702,Mo Paing Lut,မိုပိုင်းလွတ်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005036703,Sum Ma Rar,ဆွမ္မရာ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005036702,Sum Ma Rar,ထန်ပါခွေ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005037702,Pansaung,ပန်ဆောင်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,MMR005037703,Don Hee,ဒုံဟီး
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D009,Yinmabin,ယင်းမာပင်,,,
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D009,Yinmabin,ယင်းမာပင်,MMR005016,Yinmabin,ယင်းမာပင်
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D009,Yinmabin,ယင်းမာပင်,MMR005018,Salingyi,ဆားလင်းကြီ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D009,Yinmabin,ယင်းမာပင်,MMR005019,Pale,ပုလဲ
MM-01,MMR005,SGG,Sagaing,စစ်ကိုင်း,MMR005D009,Yinmabin,ယင်းမာပင်,MMR005017,Kani,ကန်နီ
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,,,,,,
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,,,
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,MMR006001,Dawei,ထားဝယ်
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,MMR006002,Launglon,လောင်းလုံ
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,MMR006003,Thayetchaung,သရက်ချောင်း
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,MMR006004,Yebyu,ရေဖြူ
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,MMR006001702,Myitta,မတ်ေတာ
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,MMR006004702,Kaleinaung,ကလိန်အောင်
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D002,Myeik,မြိတ်,,,
MM-05,MMR006,TNI,Tanintharyi,တနင်္သာရီ,MMR006D002,Myeik,မြိတ်,MMR006005,Myeik,မြိတ်
