MMR001,Kachin,MMR001D001,Myitkyina,,
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001702,Sinbo
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002702,Sadung
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002703,Kan Paik Ti
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004702,Shin Bway Yang
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005702,Pang War
MMR001,Kachin,MMR001D002,Mohnyin,,
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007702,Hopin
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009702,Kamaing
MMR001,Kachin,MMR001D003,Bhamo,,
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi
MMR001,Kachin,MMR001D003,Bhamo,MMR001011702,Myo Hla
MMR001,Kachin,MMR001D003,Bhamo,MMR001012702,Lwegel
MMR001,Kachin,MMR001D003,Bhamo,MMR001012703,Dawthponeyan
MMR001,Kachin,MMR001D004,Puta-O,,
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun
MMR001,Kachin,MMR001D004,Puta-O,MMR001017702,Pannandin
MMR002,Kayah,,,,
MMR002,Kayah,MMR002D001,Loikaw,,
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw
MMR002,Kayah,MMR002D002,Bawlake,,
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese
MMR002,Kayah,MMR002D002,Bawlake,MMR002005702,Ywarthit
MMR003,Kayin,,,,
MMR003,Kayin,MMR003D001,Hpa-An,,
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002702,Paingkyon
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002703,Shan Ywar Thit
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004703,Leik Tho
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004704,Baw Ga Li
MMR003,Kayin,MMR003D004,Hpapun,,
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun
MMR003,Kayin,MMR003D004,Hpapun,MMR003003702,Kamarmaung
MMR003,Kayin,MMR003D002,Myawaddy,,
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005702,Su Ka Li
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005703,Waw Lay Myaing  (Waw Lay)
MMR003,Kayin,MMR003D003,Kawkareik,,
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007702,Hpayarthonesu
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007703,Kyaikdon
MMR004,Chin,,,,
MMR004,Chin,MMR004D003,Hakha,,
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang
MMR004,Chin,MMR004D001,Falam,,
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang
MMR004,Chin,MMR004D001,Falam,MMR004001702,Rihkhawdar
MMR004,Chin,MMR004D001,Falam,MMR004005702,Cikha
MMR004,Chin,MMR004D002,Mindat,,
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa
MMR004,Chin,MMR004D002,Mindat,MMR004007702,Rezua
MMR004,Chin,MMR004D002,Mindat,MMR004009702,Samee
MMR005,Sagaing,,,,
MMR005,Sagaing,MMR005D001,Sagaing,,
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu
